id,sex,Age,agemons,weight,height,District,Cluster
1918,2,11,132,21,127.6,1,13
1919,1,10,120,21,128,2,57
1920,1,11,132,21,128,1,16
1921,1,10,120,21,128,1,21
1922,1,10,120,21,128,3,79
1923,1,10,120,21,128.2,2,61
1924,1,10,120,21,128.2,2,54
1925,2,10,120,21,128.3,2,45
1926,2,10,120,21,128.3,3,72
1927,1,13,156,21,128.5,1,13
1928,2,10,120,21,129.8,3,90
1929,1,11,132,21,130,2,57
1930,2,10,120,21,130,1,18
1931,2,10,120,21,130,1,27
1932,2,10,120,21,130,1,27
1933,1,10,120,21,130,1,29
1934,1,10,120,21,130,3,89
1935,2,10,120,21,130.1,3,87
1936,2,10,120,21,130.3,1,18
1937,2,10,120,21,130.3,3,76
1938,2,10,120,21,130.3,3,76
1939,1,12,144,21,131,3,76
1940,1,10,120,21,131.3,3,75
1941,1,11,132,21,131.5,1,22
1942,2,10,120,21,132.5,2,53
1943,2,10,120,21,132.5,3,72
1944,2,10,120,21,134.1,1,18
1945,1,11,132,21,134.4,2,65
1946,2,11,132,21,134.4,1,25
1947,2,10,120,21,134.9,2,45
1948,1,12,144,21,135,1,29
1949,2,10,120,21,135,3,90
1950,2,11,132,21,136,1,10
1951,1,12,144,21,136.1,3,82
1952,2,11,132,21,137,1,28
1953,1,10,120,21,137,1,23
1954,2,10,120,21,139,1,27
1955,1,10,120,21,139.5,1,27
1956,2,11,132,21,140,3,73
1957,2,10,120,21,140.5,1,28
1958,2,13,156,21,141,3,88
1959,2,13,156,21,141.3,1,28
1960,1,12,144,20.6,138.1,2,68
1961,2,10,120,20.5,129.8,2,68
1962,1,12,144,20.5,130.8,1,24
1963,2,12,144,20.5,132.4,1,24
1964,2,10,120,20.5,132.5,2,69
1965,2,10,120,20.5,132.8,2,67
1966,2,13,156,20.5,135,2,40
1967,2,10,120,20.5,135.2,2,69
1968,2,11,132,20.5,137.6,2,69
1969,1,12,144,20.5,137.9,2,69
1970,2,10,120,20.5,141.3,1,24
1971,1,10,120,20.1,129.2,1,17
1972,2,10,120,20.1,129.3,3,90
1973,2,12,144,20.1,130.4,3,85
1974,1,10,120,20,120,2,51
1975,2,10,120,20,121,3,74
1976,2,10,120,20,121.3,2,51
1977,2,15,180,20,121.3,2,40
1978,2,10,120,20,122.8,2,68
1979,1,13,156,20,123.2,2,61
1980,2,12,144,20,123.7,3,74
1981,1,10,120,20,125,2,60
1982,2,13,156,20,125,2,41
1983,2,10,120,20,125.3,3,87
1984,2,12,144,20,125.5,2,47
1985,1,14,168,20,126,3,90
1986,2,10,120,20,126.2,2,46
1987,2,11,132,20,126.5,3,85
1988,2,12,144,20,126.5,3,83
1989,2,10,120,20,127,2,61
1990,2,10,120,20,127,3,71
1991,1,10,120,20,129,3,86
1992,2,10,120,20,130,1,15
1993,1,10,120,20,130,1,24
1994,2,11,132,20,130,3,88
1995,2,12,144,20,130,3,86
1996,2,10,120,20,130.9,2,45
1997,2,11,132,20,130.9,2,45
1998,2,13,156,20,131,1,15
1999,2,10,120,20,131,1,24
2000,1,12,144,20,131,3,72
2001,2,11,132,20,133.5,1,16
2002,2,10,120,20,133.7,3,85
2003,2,10,120,20,134.2,2,53
2004,2,12,144,20,134.7,1,25
2005,1,10,120,20,135,3,75
2006,1,10,120,20,135.7,2,40
2007,2,10,120,20,136,3,85
2008,2,10,120,20,138,3,85
2009,1,10,120,19.5,124,1,13
2010,2,11,132,19.5,130.5,1,24
2011,1,12,144,19.5,134.5,1,24
2012,2,10,120,19.1,122,1,19
2013,2,10,120,19,133.5,2,67
2014,2,12,144,18.5,135,3,82
2015,2,14,168,18,113.5,2,66
2016,2,10,120,18,114,2,67
2017,1,11,132,18,120,2,49
2018,2,10,120,18,120.8,2,41
2019,2,11,132,18,123.3,1,18
2020,1,10,120,18,123.4,2,61
2021,2,11,132,18,125.4,3,72
2022,1,10,120,18,126.5,3,90
2023,2,10,120,18,127,1,11
2024,2,12,144,18,127,3,74
2025,2,10,120,18,130,1,39
2026,1,10,120,16.1,122.6,3,74
2027,2,10,120,15,116.5,3,72
